xErr	yErr	zErr	oErr	inX	inY	inZ	inO	MS	v_time	flag	
0	0	0	0	0	0	0	0	19925	19893	0	
0	0	0	0	0	0	0	0	19954	19948	0	
0	0	0	0	0	0	0	0	20015	19995	0	
0	0	0	0	0	0	0	0	20045	20021	0	
0	0	0	0	0	0	0	0	20074	20059	0	
0	0	0	0	0	0	0	0	20134	20113	0	
0	0	0	0	0	0	0	0	20164	20162	0	
0	0	0	0	0	0	0	0	20194	20188	0	
0	0	0	0	0	0	0	0	20225	20188	0	
0	0	0	0	0	0	0	0	20255	20254	0	
0	0	0	0	0	0	0	0	20314	20306	0	
0	0	0	0	0	0	0	0	20345	20306	0	
0	0	0	0	0	0	0	0	20374	20360	0	
0	0	0	0	0	0	0	0	20435	20411	0	
0	0	0	0	0	0	0	0	20464	20439	0	
0	0	0	0	0	0	0	0	20494	20476	0	
0	0	0	0	0	0	0	0	20524	20515	0	
0	0	0	0	0	0	0	0	20555	20545	0	
0	0	0	0	0	0	0	0	20615	20608	0	
0	0	0	0	0	0	0	0	20645	20634	0	
0	0	0	0	0	0	0	0	20675	20671	0	
0	0	0	0	0	0	0	0	20735	20726	0	
0	0	0	0	0	0	0	0	20764	20749	0	
0	0	0	0	0	0	0	0	20794	20776	0	
0	0	0	0	0	0	0	0	20824	20805	0	
0	0	0	0	0	0	0	0	20855	20835	0	
0	0	0	0	0	0	0	0	20914	20899	0	
0	0	0	0	0	0	0	0	20945	20941	0	
0	0	0	0	0	0	0	0	20975	20972	0	
-1.32731	-0.329991	0.477384	-0.0938667	0	0	0	0	21004	21001	0	
-1.32731	-0.329991	0.477384	-0.0938667	0	0	0	0	21034	21026	0	
-1.32731	-0.329991	0.477384	-0.0938667	-0.064688	-0.040325	0.01	0	22064	22049	0	
-1.32731	-0.329991	0.477384	-0.0938667	-0.064688	-0.040325	0.01	0	22095	22082	0	
-0.611936	-0.454	0.547538	-0.0797789	0	-0.0449563	0.01	0	22125	22113	0	
-0.611936	-0.454	0.547538	-0.0797789	0	-0.0449563	0.01	0	22155	22149	0	
-0.611936	-0.454	0.547538	-0.0797789	0	-0.0449563	0.01	0	22185	22149	0	
-0.611936	-0.454	0.547538	-0.0797789	0	-0.0449563	0.01	0	22215	22202	0	
-0.611936	-0.454	0.547538	-0.0797789	0	-0.0449563	0.01	0	22245	22225	0	
-0.611936	-0.454	0.547538	-0.0797789	0	-0.0449563	0.01	0	22275	22250	0	
-0.593185	-0.451048	0.595272	-0.0785875	0	-0.0395573	0.01	0	22305	22279	0	
-0.593185	-0.451048	0.595272	-0.0785875	0	-0.0395573	0.01	0	22334	22308	0	
-0.593185	-0.451048	0.595272	-0.0785875	0	-0.0395573	0.01	0	22365	22337	0	
-0.593185	-0.451048	0.595272	-0.0785875	0	-0.0395573	0.01	0	22394	22366	0	
-0.591165	-0.445815	0.614103	-0.0801093	0	-0.0374338	0.01	0	22425	22397	0	
-0.591165	-0.445815	0.614103	-0.0801093	0	-0.0374338	0.01	0	22454	22426	0	
-0.591165	-0.445815	0.614103	-0.0801093	0	-0.0374338	0.01	0	22485	22478	0	
-0.591165	-0.445815	0.614103	-0.0801093	0	-0.0374338	0.01	0	22514	22507	0	
-0.591165	-0.445815	0.614103	-0.0801093	0	-0.0374338	0.01	0	22545	22531	0	
-0.591165	-0.445815	0.614103	-0.0801093	0	-0.0374338	0.01	0	22574	22562	0	
-0.594589	-0.476201	0.650949	-0.0868084	0	-0.0378792	0.01	0	22605	22592	0	
-0.594589	-0.476201	0.650949	-0.0868084	0	-0.0378792	0.01	0	22634	22621	0	
-0.594589	-0.476201	0.650949	-0.0868084	0	-0.0378792	0.01	0	22665	22621	0	
-0.594589	-0.476201	0.650949	-0.0868084	0	-0.0378792	0.01	0	22694	22687	0	
-0.609691	-0.494328	0.653606	-0.088864	0	-0.0392292	0.01	0	22725	22712	0	
-0.609691	-0.494328	0.653606	-0.088864	0	-0.0392292	0.01	0	22754	22737	0	
