MS	x	y	z	vx	vy	vz	ax	ay	az	
78451	1.72983	0.0690128	0.475299	0.00921564	-0.164473	-2.5533e-10	0.277326	1.33893	-0.851098	
78811	1.71968	0.0762388	0.493459	-0.0111946	-0.00474176	9.71334e-11	-0.278906	0.701259	0.269815	
78841	1.71968	0.0762388	0.493459	-0.0107548	-0.00455515	2.05694e-11	-0.225824	0.754704	0.342823	
80221	1.71866	0.0817064	0.490771	0.00159079	-0.00685354	2.06917e-11	-0.27694	0.723877	0.229907	
80341	1.71795	0.0806661	0.491136	0.00141756	-0.00610724	5.60308e-11	-0.311449	0.733821	0.233462	
80401	1.71882	0.0807022	0.491282	0.00132815	-0.00572197	4.15491e-11	-0.276124	0.75182	0.276994	
80461	1.71889	0.0804227	0.491214	0.00125062	-0.00538795	4.51711e-11	-0.278738	0.751396	0.30114	
81151	1.71762	0.0803845	0.491205	0.000629406	-0.00271139	6.24478e-11	-0.278156	0.757945	0.297371	
81451	1.71744	0.0808005	0.49136	0.000465939	-0.00200712	6.39205e-11	-0.282208	0.781275	0.304383	
81511	1.7173	0.0811839	0.491252	0.000438736	-0.00188995	5.67183e-11	-0.356729	0.69191	0.236326	
81601	1.71811	0.0803188	0.490391	0.000400884	-0.0017269	2.24876e-11	-0.278261	0.760676	0.249863	
82231	1.71864	0.0808879	0.491816	0.00021318	-0.000918301	5.36879e-11	-0.24543	0.732248	0.298266	
83101	1.71758	0.0818369	0.492732	8.91156e-05	-0.000383889	2.52264e-11	-0.295784	0.669074	0.280294	
83551	1.71755	0.082136	0.49089	5.67604e-05	-0.000244505	3.68662e-11	-0.278119	0.737079	0.307219	
83731	1.71747	0.0824109	0.491719	4.73893e-05	-0.000204137	3.44179e-11	-0.253824	0.732836	0.229452	
83761	1.71747	0.0824109	0.491719	4.59855e-05	-0.000198089	2.76876e-11	-0.27159	0.749206	0.30764	
83791	1.71747	0.0824109	0.491719	4.46229e-05	-0.00019222	4.72712e-11	-0.278786	0.713682	0.315142	
83911	1.718	0.082872	0.491675	3.95652e-05	-0.000170433	3.54532e-11	-0.27705	0.682417	0.236355	
84001	1.71793	0.0828675	0.491671	3.61518e-05	-0.000155729	3.73945e-11	-0.279055	0.779673	0.311621	
84571	1.71722	0.0823053	0.491449	2.04155e-05	-8.79421e-05	1.71757e-11	-0.337966	0.762574	0.286262	
84601	1.71722	0.0823053	0.491449	1.99101e-05	-8.57655e-05	7.28738e-11	-0.264932	0.676495	0.303641	
85021	1.71743	0.0820809	0.491627	1.3068e-05	-5.62928e-05	5.84542e-11	-0.27667	0.67145	0.324746	
85471	1.71915	0.0823648	0.490056	8.32303e-06	-3.58532e-05	4.92403e-11	-0.272197	0.752809	0.234477	
85501	1.71915	0.0823648	0.490056	8.03617e-06	-3.4617e-05	2.28442e-11	-0.278084	0.760437	0.253824	
86131	1.71836	0.0814276	0.491359	4.27323e-06	-1.84073e-05	7.079e-12	-0.277235	0.724881	0.235967	
86161	1.71836	0.0814276	0.491359	4.1674e-06	-1.79517e-05	2.84298e-11	-0.277708	0.667221	0.236915	
86791	1.71826	0.0807697	0.48925	2.21585e-06	-9.54581e-06	5.85275e-11	-0.277648	0.753626	0.325153	
87450	1.72061	0.0834961	0.489638	1.14339e-06	-4.92564e-06	2.75303e-11	-0.278247	0.754437	0.305892	
87901	1.71687	0.0792988	0.49043	7.35367e-07	-3.16888e-06	7.54821e-11	-0.278973	0.765805	0.228734	
88321	1.71677	0.0787793	0.490144	4.77946e-07	-2.05912e-06	2.83537e-11	-0.277036	0.707379	0.315041	
88921	1.72028	0.0806631	0.489065	2.61902e-07	-1.12838e-06	1.47006e-11	-0.277661	0.757943	0.245011	
88981	1.71996	0.080722	0.489547	2.46612e-07	-1.06251e-06	1.4056e-11	-0.277964	0.758056	0.234266	
89311	1.71978	0.0798397	0.489445	1.78744e-07	-7.71009e-07	7.10244e-11	-0.315394	0.756488	0.236748	
89731	1.72047	0.0801754	0.489774	1.17262e-07	-5.06069e-07	9.37622e-11	-0.244024	0.692614	0.312541	
90091	1.72079	0.0804293	0.489582	8.13571e-08	-3.5098e-07	3.44043e-11	-0.274245	0.763211	0.229362	
90481	1.72078	0.0801991	0.489392	5.52017e-08	-2.38632e-07	6.45253e-11	-0.277418	0.755949	0.268856	
90511	1.72078	0.0801991	0.489392	5.343e-08	-2.30356e-07	1.55996e-11	-0.278777	0.726309	0.259994	
90631	1.72039	0.0797383	0.489386	4.73206e-08	-2.04265e-07	2.93512e-11	-0.278938	0.764052	0.244594	
90991	1.72035	0.0797811	0.489687	3.30331e-08	-1.4314e-07	5.79587e-11	-0.276483	0.758446	0.241495	
91351	1.72031	0.0792653	0.489442	2.29683e-08	-9.9256e-08	2.82498e-11	-0.278507	0.760968	0.313887	
