MS	x	y	z	vx	vy	vz	ax	ay	az	
78150	0.0648221	-1.72798	0.408222	0	0	0	-9.35706e+06	-32606.5	6.61601e+07	
78181	0.0636002	-1.73064	0.419301	-0.00842136	-2.93458e-05	0.0595441	-7.46264e+06	-1.62385e+07	6.76656e+07	
78211	0.0619357	-1.73212	0.434917	-0.0122273	-0.00831099	0.0940535	-1.01776e+07	-9.05361e+06	9.54804e+07	
78241	0.0627621	-1.73529	0.440039	-0.0192498	-0.014558	0.159935	5.05629e+06	-1.93684e+07	3.13394e+07	
78271	0.0620994	-1.73886	0.450332	-0.0163677	-0.025598	0.177798	-4.05798e+06	-2.18621e+07	6.30288e+07	
78301	0.0616498	-1.73731	0.459286	-0.0192895	-0.0413387	0.223179	-2.75522e+06	9.45197e+06	5.48625e+07	
78331	0.0652228	-1.73737	0.465159	-0.0209426	-0.0356675	0.256097	2.1912e+07	-354893	3.60169e+07	
78361	0.0669386	-1.73717	0.465372	-0.00450858	-0.0359337	0.283109	1.0529e+07	1.24929e+06	1.30575e+06	
78391	0.0672801	-1.73207	0.468703	-0.00261336	-0.0357088	0.283344	2.09863e+06	3.13362e+07	2.04675e+07	
78421	0.0690128	-1.72983	0.475299	-0.00192081	-0.0253679	0.290099	1.06529e+07	1.37828e+07	4.05538e+07	
78481	0.0702151	-1.72594	0.482196	-0.164473	-0.00921564	-1.12345e-09	7.39834e+06	2.39062e+07	4.24444e+07	
78511	0.0767695	-1.72439	0.485774	-0.162697	-0.00347816	0.0101867	3.05576e+07	1.98472e+07	2.26569e+07	
78541	0.0767695	-1.72439	0.485774	-0.127862	0.0191477	0.0360155	3.05576e+07	1.98472e+07	2.26569e+07	
78571	0.0761087	-1.72172	0.489854	-0.117778	0.0256973	0.0434923	-4.07828e+06	1.64904e+07	2.51768e+07	
78601	0.0769985	-1.72052	0.48787	-0.11998	0.0346021	0.0570878	5.49497e+06	7.38367e+06	-1.22523e+07	
78631	0.0739617	-1.72009	0.488013	-0.116683	0.0390323	0.0497364	-1.87666e+07	2.65371e+06	884187	
78661	0.0761769	-1.71812	0.491228	-0.131884	0.0411818	0.0504526	1.36973e+07	1.21946e+07	1.98784e+07	
