xErr	yErr	zErr	oErr	inX	inY	inZ	inO	MS	
0	0	0	0	-0.1	-0.1	-0.01	0	147710	
0.414566	0.310887	0.441594	0.175059	0	0.1	0.01	0.1	147740	
0.414566	0.310887	0.441594	0.175059	0	0.1	0.01	0.1	147770	
0.414566	0.310887	0.441594	0.175059	0	0.1	0.01	0.1	147800	
0.420793	0.314206	0.443659	0.175647	0	0.1	0.01	0.1	147830	
0.420793	0.314206	0.443659	0.175647	0	0.1	0.01	0.1	147860	
0.420793	0.314206	0.443659	0.175647	0	0.1	0.01	0.1	147890	
0.420793	0.314206	0.443659	0.175647	0	0.1	0.01	0.1	147920	
0.428825	0.317858	0.451921	0.177689	0	0.1	0.01	0.1	147950	
0.428825	0.317858	0.451921	0.177689	0	0.1	0.01	0.1	147980	
0.428825	0.317858	0.451921	0.177689	0	0.1	0.01	0.1	148010	
0.428825	0.317858	0.451921	0.177689	0	0.1	0.01	0.1	148040	
0.428825	0.317858	0.451921	0.177689	0	0.1	0.01	0.1	148070	
0.428825	0.317858	0.451921	0.177689	0	0.1	0.01	0.1	148100	
0.455017	0.317979	0.452661	0.15357	0	0.1	0.01	0	148130	
0.455017	0.317979	0.452661	0.15357	0	0.1	0.01	0	148160	
0.455017	0.317979	0.452661	0.15357	0	0.1	0.01	0	148190	
0.455017	0.317979	0.452661	0.15357	0	0.1	0.01	0	148220	
0.463685	0.314242	0.455178	0.130913	0	0.1	0.01	0	148250	
0.463685	0.314242	0.455178	0.130913	0	0.1	0.01	0	148280	
0.463685	0.314242	0.455178	0.130913	0	0.1	0.01	0	148310	
0.463685	0.314242	0.455178	0.130913	0	0.1	0.01	0	148340	
0.463685	0.314242	0.455178	0.130913	0	0.1	0.01	0	148370	
0.463685	0.314242	0.455178	0.130913	0	0.1	0.01	0	148400	
0.495371	0.291423	0.455255	0.105373	0	0	0.01	0	148430	
0.497605	0.285951	0.458218	0.104848	0	0	0.01	0	148460	
0.497605	0.285951	0.458218	0.104848	0	0	0.01	0	148490	
0.497605	0.285951	0.458218	0.104848	0	0	0.01	0	148520	
0.511436	0.268157	0.458436	0.100212	0	0	0.01	0	148550	
0.511436	0.268157	0.458436	0.100212	0	0	0.01	0	148580	
0.511436	0.268157	0.458436	0.100212	0	0	0.01	0	148610	
0.511436	0.268157	0.458436	0.100212	0	0	0.01	0	148640	
0.511436	0.268157	0.458436	0.100212	0	0	0.01	0	148670	
0.511436	0.268157	0.458436	0.100212	0	0	0.01	0	148700	
0.525145	0.230285	0.461439	0.0905717	0	0	0.01	0	148730	
0.525145	0.230285	0.461439	0.0905717	0	0	0.01	0	148760	
0.525145	0.230285	0.461439	0.0905717	0	0	0.01	0	148790	
