MS	x	y	z	vx	vy	vz	ax	ay	az	
20071	1.11056	0.91437	0.425717	-2.32009e-10	-8.95547e-11	1.0684e-10	-0.186572	0.483352	0.222583	
33482	1.33776	0.637904	1.45226	-3.60963e-10	-1.65774e-10	1.06629e-10	-0.27629	0.601605	0.177715	
60241	1.34392	0.617204	1.46047	-2.34941e-10	-1.07828e-10	9.68447e-11	-0.276482	0.602413	0.24832	
86911	1.3394	0.618376	1.46081	-1.29532e-10	-6.933e-11	4.02875e-11	-0.330143	0.616821	0.191845	
107581	1.33334	0.615002	1.44741	-2.17024e-10	-8.23056e-11	8.84614e-11	-0.228627	0.602844	0.245726	
156721	1.32471	0.614824	1.43746	-3.45492e-10	-1.94252e-10	1.38676e-10	-0.340793	0.606126	0.243291	
178351	1.10167	1.42461	0.402675	-4.02691e-10	-4.68588e-10	3.99399e-10	-0.578503	0.49715	0.493085	
200762	0.286542	3.22776	0.156883	-1.28006e-10	-4.0257e-12	7.86289e-11	-0.0111825	0.355573	0.218414	
220171	2.97917	2.45752	0.314263	-3.457e-10	-1.42836e-10	1.69779e-10	-0.340087	0.823094	0.404235	
232231	1.79998	3.18593	0.147773	-2.61253e-10	-8.64363e-11	8.86798e-11	-0.205801	0.622031	0.211142	
270842	4.49904	3.07251	0.332428	-3.04459e-10	-1.73213e-10	1.83018e-10	-0.230951	0.405945	0.244024	
