MS	x	y	z	vx	vy	vz	ax	ay	az	
8761	1.41586	0.935422	1.53854	-0.000751706	-0.0438554	4.10471e-11	-0.277135	0.685904	0.152026	
8941	1.41238	0.931344	1.5402	-0.00141721	-0.0448907	1.28124e-10	-0.275455	0.603269	0.251223	
9181	1.41638	0.934899	1.54209	-0.00224825	-0.0440439	6.43267e-11	-0.276336	0.603778	0.238247	
9361	1.40406	0.934989	1.5416	-0.0013185	-0.0427383	9.74726e-12	-0.274952	0.603925	0.162454	
10021	1.41244	0.938611	1.54259	-0.00180315	-0.0467348	5.60727e-11	-0.275488	0.603069	0.155758	
10081	1.41643	0.937847	1.53928	-0.00230459	-0.0460538	4.31026e-11	-0.276936	0.636041	0.239459	
10172	1.41439	0.936888	1.53774	-0.00075996	-0.0447227	7.63595e-11	-0.260911	0.602772	0.231392	
10232	1.41146	0.940808	1.53652	-0.00136461	-0.0453154	1.13768e-10	-0.20146	0.603685	0.237016	
10472	1.40538	0.934696	1.5279	-0.000457801	-0.0454344	4.73461e-11	-0.309114	0.611136	0.225458	
10591	1.40085	0.935071	1.52941	-0.000565186	-0.0459369	1.42811e-10	-0.245159	0.694071	0.340026	
10861	1.39999	0.934448	1.53273	-0.0020947	-0.044758	3.37039e-11	-0.276313	0.635292	0.160495	
11281	1.39854	0.93373	1.53235	-0.00296832	-0.0429765	1.43902e-11	-0.278743	0.66997	0.159892	
11341	1.40458	0.934014	1.53382	-0.00205128	-0.0433142	9.66219e-12	-0.276347	0.604799	0.161036	
11402	1.40099	0.934205	1.53337	-0.000860044	-0.0425607	4.34669e-11	-0.274692	0.606821	0.160988	
11491	1.40107	0.934362	1.53345	-0.00192966	-0.0437659	3.9702e-11	-0.277643	0.676292	0.220567	
11522	1.40107	0.934362	1.53345	-0.000821937	-0.0432805	1.07868e-11	-0.274946	0.602897	0.17978	
11762	1.40725	0.935364	1.53246	-0.00277939	-0.0439637	2.41935e-11	-0.27571	0.614003	0.16129	
12002	1.40721	0.934675	1.53357	-0.0018367	-0.0454569	9.75473e-12	-0.277484	0.596257	0.162579	
12151	1.40668	0.935454	1.53251	-0.00103417	-0.0447713	1.39566e-11	-0.277722	0.681805	0.155073	
12541	1.41047	0.936502	1.54774	-0.00170154	-0.0442389	6.67267e-11	-0.260952	0.603444	0.202202	
12691	1.41034	0.936072	1.54658	-0.00127235	-0.0443326	1.57999e-10	-0.275236	0.603389	0.239392	
13051	1.40754	0.934739	1.53238	-0.00100182	-0.0451816	1.07269e-10	-0.280619	0.603689	0.238376	
13141	1.41184	0.934567	1.53308	-0.00252441	-0.0451141	7.1454e-12	-0.257958	0.59818	0.23818	
13292	1.41118	0.934919	1.54878	0.000780011	-0.0429865	1.70083e-11	-0.275046	0.60218	0.188981	
13321	1.41118	0.934919	1.54878	-0.000418848	-0.0435012	1.17235e-10	-0.191628	0.637402	0.244239	
13442	1.41598	0.935811	1.54832	-0.000401214	-0.0442534	1.29955e-10	-0.246392	0.601741	0.206278	
13531	1.40771	0.935337	1.548	-0.00265654	-0.0465437	1.93428e-10	-0.202348	0.604031	0.247985	
13621	1.40464	0.935352	1.54746	-0.0019766	-0.0438767	6.71418e-11	-0.209702	0.643759	0.279758	
13801	1.41029	0.934671	1.54812	0.00157173	-0.036792	7.39889e-12	-0.242105	0.639199	0.24663	
13982	1.40952	0.935545	1.54788	-0.00236415	-0.041392	2.83988e-11	-0.274349	0.678129	0.236657	
14011	1.40952	0.935545	1.54788	-0.00413932	-0.0423077	1.35102e-10	-0.262342	0.665218	0.237021	
14101	1.4102	0.935105	1.54843	-0.00221847	-0.0441623	2.63438e-11	-0.286747	0.600553	0.146355	
14221	1.40879	0.936179	1.54818	-0.00102268	-0.039504	1.9966e-10	-0.277943	0.603866	0.237691	
14611	1.40825	0.933504	1.54953	-0.00066788	-0.0257992	3.59382e-11	-0.276585	0.602539	0.239588	
14792	1.41199	0.934993	1.54918	-0.000566045	-0.0218658	2.17871e-10	-0.0869116	0.678618	0.363119	
14912	1.4156	0.933367	1.55342	-0.000494382	-0.019098	9.22115e-11	-0.331762	0.442207	0.219551	
14941	1.4156	0.933367	1.55342	-0.000482143	-0.0186252	6.01603e-11	-0.175515	0.517525	0.250668	
14972	1.4156	0.933367	1.55342	-0.000465517	-0.017983	7.8753e-11	-0.175187	0.539173	0.238645	
15152	1.40808	0.933613	1.55168	-0.000396519	-0.0153179	1.34544e-10	-0.259711	0.47656	0.166104	
15181	1.40808	0.933613	1.55168	-0.000375243	-0.0144962	3.46614e-11	-0.352496	0.403055	0.231076	
15272	1.41256	0.933283	1.55248	-0.00034981	-0.0135138	1.08451e-10	-0.39919	0.530138	0.258217	
15301	1.41256	0.933283	1.55248	-0.000339447	-0.0131134	3.72578e-11	-0.360286	0.482121	0.177418	
15451	1.40758	0.931821	1.55109	-0.000296473	-0.0114534	1.39716e-10	-0.115252	0.531286	0.211691	
15511	1.41092	0.932228	1.55363	-0.000280566	-0.010839	6.55054e-11	-0.117007	0.515902	0.18196	
15661	1.40736	0.936615	1.55007	-0.000236596	-0.00914058	1.18647e-10	-0.147292	0.542476	0.247181	
15692	1.40736	0.936615	1.55007	-0.000233064	-0.00900417	1.35415e-10	-0.265452	0.534305	0.250768	
15721	1.40736	0.936615	1.55007	-0.000227296	-0.0087813	2.00888e-10	-0.284683	0.587285	0.334814	
15872	1.39977	0.931525	1.53328	-0.000191679	-0.00740529	2.22544e-10	-0.112319	0.633818	0.255798	
15932	1.39621	0.934701	1.53803	-0.000177793	-0.0068689	1.201e-11	-0.236107	0.526259	0.0800665	
16141	1.38881	0.920926	1.54167	-0.000144033	-0.00556494	3.15739e-11	-0.0952447	0.615431	0.0701642	
16442	1.38173	0.931336	1.54355	-0.000106627	-0.00411947	3.64052e-11	-0.172312	0.55311	0.0713828	
17192	1.29207	0.866733	1.2427	0.0222988	0.0102544	-1.07431e-09	-0.255384	0.575463	-1.98947	
17221	1.29207	0.866733	1.2427	0.115127	0.00455315	-2.51848e-10	-0.295343	0.525587	-2.09873	
17341	1.25988	0.833498	1.03974	0.0711445	0.0582044	-8.31334e-11	-0.119328	0.666738	-0.173195	
17461	1.21675	0.843898	0.863544	0.32758	0.377673	1.14814e-09	-0.201375	0.596798	2.73367	
17492	1.21675	0.843898	0.863544	0.381314	0.458032	1.21504e-09	0.05229	0.507902	2.7001	
17581	1.20231	0.866933	0.691299	0.220867	0.39093	3.32703e-10	-0.432163	0.630629	1.84835	
17882	1.15429	0.854877	0.357337	0.0956311	0.086498	1.43226e-09	-0.00708942	0.394325	4.77419	
17942	1.16484	0.86428	0.306885	-0.0935596	0.103198	-0.0116538	3.7647e+06	3.51323e+06	-5.7979e+06	
17971	1.16484	0.86428	0.306885	-0.0966161	0.106473	-0.016698	3.7647e+06	3.51323e+06	-5.7979e+06	
18271	1.12396	0.884709	0.33625	-0.0657644	-0.0445472	-6.76344e-10	-0.34521	0.598733	-0.980209	
18302	1.12396	0.884709	0.33625	-0.0650899	-0.0447686	-5.80018e-10	-0.317516	0.36539	-1.13729	
18391	1.10487	0.875216	0.40443	-0.0437133	-0.0139346	-4.75474e-10	-0.235908	0.536469	-1.76102	
18482	1.08956	0.857603	0.425165	-0.0510946	0.0257809	-4.8373e-10	-0.150736	0.545111	-1.24033	
18631	1.08982	0.867269	0.425885	-0.0126132	0.0459297	-3.06458e-11	-0.11602	0.396752	-0.145932	
18662	1.08982	0.867269	0.425885	-0.00706611	0.0574732	-1.73013e-12	-0.166428	0.572573	-0.00823873	
18751	1.07906	0.873748	0.421209	-0.00737839	0.0661352	1.24884e-10	-0.222107	0.555216	0.346899	
18811	1.09078	0.881313	0.423824	0.00267202	0.0568842	3.26458e-10	-0.107389	0.572961	0.680122	
18842	1.09078	0.881313	0.423824	-0.0075238	0.0600167	1.24924e-10	-0.289643	0.579858	0.520517	
18871	1.09078	0.881313	0.423824	-0.00759191	0.052234	1.56036e-10	-0.164285	0.520819	0.866867	
19172	1.09829	0.887653	0.408849	-0.0172919	0.0349181	1.12327e-10	-0.206415	0.507466	0.416027	
19201	1.09829	0.887653	0.408849	-0.0173764	0.0293615	2.04055e-10	-0.225119	0.443191	0.340091	
19232	1.09829	0.887653	0.408849	-0.0164027	0.0301956	6.3004e-11	-0.24533	0.547457	0.210013	
19592	1.11871	0.903512	0.424826	-0.0179107	0.0356288	2.51631e-11	-0.211678	0.447305	0.0559181	
19652	1.12264	0.903419	0.424363	-0.0102502	0.0338369	2.20951e-11	-0.191528	0.482558	0.0818335	
19741	1.1239	0.903998	0.423719	-0.0272951	0.0397541	2.40649e-10	-0.170881	0.540392	0.445646	
19951	1.12607	0.918777	0.428496	-0.0135294	0.0234673	1.2972e-10	-0.221717	0.432021	0.288268	
20222	1.12513	0.914818	0.427127	0.000140155	0.00171536	-0.000808812	591184	-104139	-210346	
20401	1.13122	0.930185	0.431491	-0.0150192	0.035277	1.1005e-10	-0.0476969	0.444414	0.146733	
20641	1.13795	0.931066	0.431457	-0.0102051	0.0136819	1.086e-10	-0.191856	0.514955	0.402221	
20672	1.13795	0.931066	0.431457	0.000712999	0.0161899	1.03e-10	-0.136173	0.47509	0.312121	
20731	1.13327	0.932591	0.43301	-0.0027686	0.012725	1.58495e-10	-0.162528	0.422977	0.310774	
21152	1.16678	0.941512	0.419512	-0.0619318	-0.0638147	1.48015e-10	-0.252974	0.540002	0.328922	
21181	1.16678	0.941512	0.419512	-0.0521801	-0.0628184	9.83936e-11	-0.13215	0.434322	0.364421	
21361	1.1819	0.955394	0.421171	-0.0586905	-0.0703758	2.70308e-10	-0.146016	0.353097	0.474224	
21691	1.22725	0.937869	0.428651	-0.0472416	-0.0438404	3.25297e-11	-0.185321	0.312349	0.0834094	
