MS	x	y	z	vx	vy	vz	ax	ay	az	
8581	0.93763	-1.41921	1.53939	0	0	0	82236.8	-30697	65671.9	
8611	0.938544	-1.41546	1.53499	2.4671e-05	-9.2091e-06	1.97016e-05	67622	277467	-325468	
8641	0.938544	-1.41546	1.53499	0.000105818	0.000323752	-0.00037086	67622	277467	-325468	
8672	0.938544	-1.41546	1.53499	0.000249852	0.000914757	-0.00106411	67622	277467	-325468	
8701	0.935763	-1.4123	1.53815	0.00029854	0.00111453	-0.00129844	-209363	237993	237726	
8731	0.935422	-1.41586	1.53854	0.000198046	0.00122877	-0.00118433	-25874.9	-270477	29899.7	
8791	0.932071	-1.40994	1.54033	-0.0438554	0.000751706	1.77871e-10	-447396	12016.4	-28615	
8821	0.933409	-1.40791	1.53828	-0.0441507	0.000759637	-1.88857e-05	103579	157514	-158531	
8852	0.930865	-1.41408	1.53899	-0.0441476	0.000764362	-2.36416e-05	-10579.2	-71851	-61111.3	
8881	0.931149	-1.413	1.53943	-0.0441517	0.000736341	-4.7475e-05	22265.1	85339.9	34730.7	
8912	0.931344	-1.41238	1.5402	-0.0441464	0.000756822	-3.91397e-05	15468.7	48805.9	60848.6	
8972	0.931748	-1.41497	1.53548	-0.0448907	0.00141721	2.26101e-10	-8289.93	-106169	14733.5	
9001	0.93289	-1.40954	1.5409	-0.0448914	0.00140766	1.32624e-06	92512.7	439656	438804	
9032	0.935614	-1.40298	1.53858	-0.0448637	0.00153955	0.000132967	221711	533586	-188826	
9062	0.935614	-1.40298	1.53858	-0.0445976	0.00217986	-9.3624e-05	221711	533586	-188826	
9091	0.932783	-1.41029	1.54011	-0.0445244	0.00235594	-0.000155937	-233386	-602334	125688	
9122	0.934899	-1.41638	1.54209	-0.0446155	0.00212103	-0.000106918	175570	-505953	164048	
9152	0.934899	-1.41638	1.54209	-0.044389	0.00146835	0.000104704	175570	-505953	164048	
9212	0.935006	-1.4014	1.54017	-0.0440439	0.00224825	1.07211e-10	-333487	979442	-651070	
9241	0.938898	-1.40715	1.54174	-0.0441539	0.00257146	-0.000214853	331586	-489747	133890	
9272	0.93858	-1.40698	1.54186	-0.0440047	0.00235108	-0.000154603	-27246.1	14245.5	10023.8	
9301	0.935014	-1.40299	1.54276	-0.044026	0.00236219	-0.000146784	-306826	343913	77241.4	
9332	0.934989	-1.40406	1.5416	-0.0442561	0.00262012	-8.8853e-05	-2153.93	-92820.5	-100452	
9391	0.941722	-1.4083	1.53789	-0.0427383	0.0013185	7.31045e-11	-47031	-42870.1	121304	
9422	0.940288	-1.40791	1.53818	-0.0427566	0.00130178	4.73087e-05	-127013	34505	25452.1	
9451	0.940288	-1.40791	1.53818	-0.0429166	0.00134526	7.93783e-05	-127013	34505	25452.1	
9482	0.937057	-1.40479	1.54151	-0.0429471	0.00135354	8.54868e-05	-33303.2	-95395.7	84002	
9511	0.937057	-1.40479	1.54151	-0.0429841	0.00124765	0.000178729	-33303.2	-95395.7	84002	
9542	0.937439	-1.40307	1.54024	-0.0430081	0.00117897	0.000239211	34651	155647	-115183	
9571	0.936285	-1.40457	1.5433	-0.0429873	0.00127236	0.000170101	-105253	-137146	279261	
9601	0.930481	-1.41318	1.54446	-0.0430189	0.00123121	0.000253879	-533946	-791966	106890	
9632	0.930481	-1.41318	1.54446	-0.0436756	0.000257093	0.000385354	-533946	-791966	106890	
9662	0.930481	-1.41318	1.54446	-0.0447969	-0.00140604	0.000609824	-533946	-791966	106890	
