xErr	yErr	zErr	oErr	inX	inY	inZ	inO	MS	v_time	flag	
0	0	0	0	0	0	0	0	173780	173775	0	
0	0	0	0	0	0	0	0	173811	173805	0	
0	0	0	0	0	0	0	0	173841	173830	0	
0	0	0	0	0	0	0	0	173870	173850	0	
0	0	0	0	0	0	0	0	173901	173850	0	
0	0	0	0	0	0	0	0	173931	173910	0	
0	0	0	0	0	0	0	0	173990	173982	0	
0	0	0	0	0	0	0	0	174021	173982	0	
0	0	0	0	0	0	0	0	174051	173982	0	
0	0	0	0	0	0	0	0	174110	174105	0	
0	0	0	0	0	0	0	0	174141	174105	0	
0	0	0	0	0	0	0	0	174171	174151	0	
0	0	0	0	0	0	0	0	174201	174194	0	
0	0	0	0	0	0	0	0	174231	174214	0	
0	0	0	0	0	0	0	0	174291	174279	0	
0	0	0	0	0	0	0	0	174321	174315	0	
0	0	0	0	0	0	0	0	174351	174315	0	
0	0	0	0	0	0	0	0	174411	174395	0	
0	0	0	0	0	0	0	0	174440	174395	0	
0	0	0	0	0	0	0	0	174471	174465	0	
0	0	0	0	0	0	0	0	174501	174486	0	
0	0	0	0	0	0	0	0	174530	174486	0	
0	0	0	0	0	0	0	0	174591	174575	0	
0	0	0	0	0	0	0	0	174620	174595	0	
0	0	0	0	0	0	0	0	174650	174621	0	
0	0	0	0	0	0	0	0	174710	174696	0	
0	0	0	0	0	0	0	0	174740	174737	0	
0	0	0	0	0	0	0	0	174771	174757	0	
0	0	0	0	0	0	0	0	174801	174800	0	
0	0	0	0	0	0	0	0	174830	174800	0	
2.02753	-0.0289133	-0.286056	0.122109	0	0	0	0	174861	174849	0	
2.02753	-0.0289133	-0.286056	0.122109	0.1	0	-0.00659228	0	175891	175879	0	
1.55682	-0.16204	-0.265626	0.117343	0.1	-0.0460315	-0.00693045	0	175922	175915	0	
1.55682	-0.16204	-0.265626	0.117343	0.1	-0.0460315	-0.00693045	0	175951	175915	0	
1.56928	-0.165482	-0.268233	0.115538	0.1	-0.0451171	-0.00688247	0	175982	175978	0	
1.56928	-0.165482	-0.268233	0.115538	0.1	-0.0451171	-0.00688247	0	176011	176004	0	
1.56928	-0.165482	-0.268233	0.115538	0.1	-0.0451171	-0.00688247	0	176042	176029	0	
1.56928	-0.165482	-0.268233	0.115538	0.1	-0.0451171	-0.00688247	0	176071	176050	0	
1.56533	-0.170159	-0.266914	0.11287	0.1	-0.0455289	-0.0068364	0	176102	176077	0	
1.56533	-0.170159	-0.266914	0.11287	0.1	-0.0455289	-0.0068364	0	176132	176108	0	
1.56533	-0.170159	-0.266914	0.11287	0.1	-0.0455289	-0.0068364	0	176162	176137	0	
1.56533	-0.170159	-0.266914	0.11287	0.1	-0.0455289	-0.0068364	0	176192	176170	0	
1.5533	-0.183787	-0.278559	0.112852	0.1	-0.0464767	-0.00722081	0	176221	176211	0	
1.5533	-0.183787	-0.278559	0.112852	0.1	-0.0464767	-0.00722081	0	176252	176211	0	
1.56149	-0.188735	-0.282299	0.112311	0.1	-0.0463623	-0.00724382	0	176282	176273	0	
1.56149	-0.188735	-0.282299	0.112311	0.1	-0.0463623	-0.00724382	0	176312	176298	0	
1.56149	-0.188735	-0.282299	0.112311	0.1	-0.0463623	-0.00724382	0	176341	176340	0	
1.56149	-0.188735	-0.282299	0.112311	0.1	-0.0463623	-0.00724382	0	176372	176340	0	
1.55718	-0.199462	-0.279458	0.115223	0.1	-0.0475288	-0.00717732	0	176402	176380	0	
1.55718	-0.199462	-0.279458	0.115223	0.1	-0.0475288	-0.00717732	0	176431	176409	0	
1.55718	-0.199462	-0.279458	0.115223	0.1	-0.0475288	-0.00717732	0	176462	176455	0	
1.55718	-0.199462	-0.279458	0.115223	0.1	-0.0475288	-0.00717732	0	176491	176476	0	
1.58751	-0.201063	-0.279911	0.11482	0.1	-0.0437917	-0.00694125	0	176522	176496	0	
1.58751	-0.201063	-0.279911	0.11482	0.1	-0.0437917	-0.00694125	0	176552	176538	0	
1.58979	-0.203344	-0.283297	0.114314	0.1	-0.0436665	-0.00701453	0	176582	176562	0	
1.58979	-0.203344	-0.283297	0.114314	0.1	-0.0436665	-0.00701453	0	176612	176598	0	
1.58979	-0.203344	-0.283297	0.114314	0.1	-0.0436665	-0.00701453	0	176641	176598	0	
1.58979	-0.203344	-0.283297	0.114314	0.1	-0.0436665	-0.00701453	0	176672	176664	0	
1.57388	-0.20241	-0.287387	0.114532	0.1	-0.0414929	-0.00718391	0	176701	176693	0	
1.57388	-0.20241	-0.287387	0.114532	0.1	-0.0414929	-0.00718391	0	176732	176693	0	
1.57388	-0.20241	-0.287387	0.114532	0.1	-0.0414929	-0.00718391	0	176761	176739	0	
1.57388	-0.20241	-0.287387	0.114532	0.1	-0.0414929	-0.00718391	0	176792	176782	0	
1.57578	-0.206837	-0.289167	0.115384	0.1	-0.0407699	-0.00720188	0	176822	176811	0	
1.57578	-0.206837	-0.289167	0.115384	0.1	-0.0407699	-0.00720188	0	176851	176833	0	
