MS	x	y	z	vx	vy	vz	ax	ay	az	
8984	0.913779	0.558309	1.13275	-0.00129868	-0.0271717	2.11172e-10	-0.285661	0.596369	0.293294	
9434	0.906163	0.562547	1.13399	-0.000389582	-0.0287241	3.79325e-11	-0.198607	0.629212	0.316104	
9765	0.91594	0.558206	1.13231	-0.00153861	-0.0257583	1.40852e-10	-0.197935	0.675647	0.313005	
9974	0.914982	0.558447	1.12968	-0.00236382	-0.0263877	1.41689e-11	-0.275825	0.648463	0.236149	
10154	0.918197	0.555528	1.12499	-0.000287496	-0.0266175	1.53252e-10	-0.205841	0.682906	0.364886	
10215	0.921038	0.554703	1.12531	0.000340021	-0.0263616	1.89254e-10	-0.202497	0.674468	0.315424	
10334	0.924618	0.553532	1.12715	-0.000619072	-0.0273919	5.56871e-11	-0.201175	0.648045	0.265177	
10634	0.905555	0.564307	1.13291	-0.00134694	-0.0273935	3.04028e-11	-0.278103	0.680093	0.202686	
10844	0.902566	0.566914	1.13595	-0.000635678	-0.026208	8.26309e-11	-0.269006	0.67805	0.30604	
10875	0.902566	0.566914	1.13595	-0.00108915	-0.0273087	7.56052e-11	-0.22977	0.682182	0.315022	
11175	0.906523	0.5632	1.13769	-0.00156112	-0.0252579	8.56793e-11	-0.273814	0.678928	0.237998	
11324	0.903025	0.565669	1.13578	-0.000353176	-0.0260043	2.13754e-11	-0.27741	0.67977	0.237505	
11384	0.904507	0.565811	1.13573	-0.00058402	-0.0253286	3.26711e-11	-0.244309	0.655216	0.217808	
11715	0.899763	0.570398	1.13631	-0.00218995	-0.0280212	4.9193e-11	-0.251577	0.61446	0.234252	
11805	0.901925	0.568386	1.13664	-0.000372183	-0.0277217	1.05315e-10	-0.263139	0.679367	0.270038	
12195	0.905248	0.564851	1.13907	-0.00136611	-0.0204498	8.12817e-11	-0.246238	0.634675	0.270939	
12465	0.9014	0.567389	1.138	-0.00104738	-0.0156788	8.1004e-11	-0.286887	0.510567	0.300015	
12705	0.909663	0.563099	1.14345	-0.000823325	-0.0123258	1.10708e-10	-0.312024	0.481605	0.263591	
