xErr	yErr	zErr	oErr	inX	inY	inZ	inO	MS	v_time	flag	
0	0	0	0	0	0	0	0	50758	50746	0	
0	0	0	0	0	0	0	0	50819	50804	0	
0	0	0	0	0	0	0	0	50849	50826	0	
0	0	0	0	0	0	0	0	50878	50878	0	
0	0	0	0	0	0	0	0	50939	50878	0	
0	0	0	0	0	0	0	0	50968	50965	0	
0	0	0	0	0	0	0	0	50999	50988	0	
0	0	0	0	0	0	0	0	51029	51013	0	
0	0	0	0	0	0	0	0	51059	51037	0	
0	0	0	0	0	0	0	0	51119	51107	0	
0	0	0	0	0	0	0	0	51149	51107	0	
0	0	0	0	0	0	0	0	51179	51168	0	
0	0	0	0	0	0	0	0	51239	51221	0	
0	0	0	0	0	0	0	0	51269	51245	0	
0	0	0	0	0	0	0	0	51299	51276	0	
0	0	0	0	0	0	0	0	51328	51299	0	
0	0	0	0	0	0	0	0	51358	51338	0	
0	0	0	0	0	0	0	0	51419	51390	0	
0	0	0	0	0	0	0	0	51448	51425	0	
0	0	0	0	0	0	0	0	51479	51479	0	
0	0	0	0	0	0	0	0	51538	51527	0	
0	0	0	0	0	0	0	0	51568	51558	0	
0	0	0	0	0	0	0	0	51599	51584	0	
0	0	0	0	0	0	0	0	51629	51584	0	
0	0	0	0	0	0	0	0	51658	51648	0	
0	0	0	0	0	0	0	0	51719	51700	0	
0	0	0	0	0	0	0	0	51748	51723	0	
0	0	0	0	0	0	0	0	51779	51755	0	
2.2539	0.179648	0.456968	-0.143063	0	0	0	0	51809	51781	0	
2.2539	0.179648	0.456968	-0.143063	0	0	0	0	51839	51812	0	
2.2539	0.179648	0.456968	-0.143063	0	0	0	0	51868	51848	0	
2.2539	0.179648	0.456968	-0.143063	0.1	0	0.00814974	0	52899	52872	0	
1.74718	0.153143	0.448937	-0.146559	0.0978284	0	0.01	0	52929	52928	0	
1.74718	0.153143	0.448937	-0.146559	0.0978284	0	0.01	0	52959	52956	0	
1.74718	0.153143	0.448937	-0.146559	0.0978284	0	0.01	0	52989	52956	0	
1.74718	0.153143	0.448937	-0.146559	0.0978284	0	0.01	0	53020	53016	0	
1.74771	0.152514	0.449718	-0.147655	0.0976746	0	0.01	0	53049	53016	0	
1.74771	0.152514	0.449718	-0.147655	0.0976746	0	0.01	0	53080	53060	0	
1.74771	0.152514	0.449718	-0.147655	0.0976746	0	0.01	0	53109	53060	0	
1.74771	0.152514	0.449718	-0.147655	0.0976746	0	0.01	0	53140	53136	0	
1.74771	0.152514	0.449718	-0.147655	0.0976746	0	0.01	0	53169	53161	0	
