MS	x	y	z	vx	vy	vz	ax	ay	az	
99350	0.140043	-0.89654	0.28609	-2.50822e-10	-1.36704e-10	-3.9769e-11	-0.325485	0.597195	-0.0946881	
99381	0.140043	-0.89654	0.28609	-8.06213e-10	-4.39405e-10	-1.27829e-10	-0.325485	0.597195	-0.0946881	
137300	2.33377	2.2441	-0.0829907	-8.33548e-11	-5.80487e-11	1.67724e-11	-0.276423	0.396928	0.0798684	
160220	3.27325	2.34133	-0.0649582	-1.94992e-10	-4.54558e-11	6.92298e-11	-0.151519	0.649975	0.230766	
164331	2.79384	2.14694	-0.059676	-4.26933e-11	-3.52719e-12	-9.08506e-12	-0.0235146	0.284622	-0.060567	
167360	3.09316	2.02017	-0.0384856	-2.29079e-10	-1.88535e-10	1.48228e-10	-0.285659	0.34709	0.224588	
184790	4.22091	3.14107	-0.141667	-1.89105e-10	-4.08299e-11	6.64651e-11	-0.1361	0.63035	0.22155	
231110	4.06999	3.14731	-0.0867113	-6.12194e-11	-2.31572e-11	2.22101e-11	-0.257302	0.680215	0.246779	
246981	4.05298	3.14136	-0.0829213	-3.26333e-10	-1.26181e-10	1.17416e-10	-0.262878	0.679861	0.244616	
249770	4.0545	3.14277	-0.080504	-6.08876e-11	-2.48853e-11	1.6857e-11	-0.276504	0.676528	0.1873	
279890	0.419164	-0.173769	0.984789	-4.16593e-10	-1.92588e-10	6.73227e-11	-0.279113	0.603758	0.0975692	
300441	0.417144	-0.119564	0.967964	-4.68554e-10	-1.90158e-10	1.47169e-10	-0.275592	0.679064	0.213288	
302540	0.414704	-0.103045	0.967329	-5.91351e-10	-2.39265e-10	2.69671e-10	-0.275017	0.679714	0.309967	
