MS	x	y	z	vx	vy	vz	ax	ay	az	
5030	0.0379248	-0.0166908	0.665927	0	0	0	-60584.3	-73518.1	-47782.9	
5060	0.0388127	-0.0146109	0.666227	-1.27227e-05	-1.54388e-05	-1.00344e-05	22670.3	53107.9	7665.25	
5120	0.0344872	-0.00946179	0.669268	-0.0134353	0.00275472	4.32172e-10	-111360	132565	78310	
5150	0.03603	-0.00698236	0.668878	-0.0134587	0.00278256	1.64455e-05	34631.6	61814.8	3579.31	
5180	0.0358311	-0.00598676	0.669662	-0.013441	0.00281409	1.8271e-05	-5301.02	26539.5	20908.3	
5240	0.0295653	-0.03038	0.669632	-0.00373442	-0.00041908	2.64727e-10	-162114	-603666	-7576.69	
5270	0.0249678	-0.0218766	0.671373	-0.0038706	-0.000926159	-6.36415e-06	-126331	233661	47835.5	
5331	0.0295754	-0.0319342	0.669134	-0.00096766	0.00127516	2.17103e-10	129281	-282199	-62818.2	
5390	0.0274566	-0.028765	0.668392	-0.000897581	0.0011828	1.05038e-10	-27189.3	28298	-17198.3	
5420	0.0298822	-0.0337143	0.667781	-0.000903291	0.00118874	-3.61154e-06	18647.6	-57673.4	-18591.5	
5450	0.0298822	-0.0337143	0.667781	-0.000882592	0.00112472	-2.42481e-05	18647.6	-57673.4	-18591.5	
5480	0.0406976	-0.0147282	0.666653	-0.000879795	0.00111607	-2.70368e-05	332141	473849	-16732	
5510	0.0365305	-0.0126602	0.664165	-0.000720367	0.00134352	-3.50682e-05	-125782	62419.8	-75083.3	
5541	0.0374462	-0.0115373	0.665504	-0.00083357	0.0013997	-0.000102643	27811.1	34105.7	40653.1	
5570	0.0368765	-0.0159452	0.664901	-0.000809375	0.00142937	-6.7275e-05	-17489.5	-135335	-18509	
5630	0.0353244	-0.0133544	0.664403	0.00162995	-0.00214957	1.82102e-10	46687.4	-205035	-90787.1	
5690	0.0370496	-0.0154191	0.665621	0.00016837	0.000774587	1.93656e-10	9572.62	-127608	4253.05	
5720	0.0370496	-0.0154191	0.665621	0.000185601	0.000544892	7.65568e-06	9572.62	-127608	4253.05	
5751	0.0370496	-0.0154191	0.665621	0.000211734	0.000196523	1.92665e-05	9572.62	-127608	4253.05	
5780	0.0331141	-0.0140686	0.666805	0.000213744	0.000169725	2.01596e-05	-116551	-3389.81	17923.3	
5811	0.0324816	-0.0120657	0.667667	0.000171786	0.000168505	2.6612e-05	-21272.1	67354.8	28996.6	
5840	0.0373273	-0.0160693	0.668071	0.000164766	0.000190732	3.61809e-05	164644	-136032	13706.5	
5871	0.0371043	-0.0156258	0.669001	0.000224038	0.00014176	4.11152e-05	-7655.8	15226.7	31925.6	
5900	0.0373648	-0.0159692	0.667205	0.000219674	0.000150439	5.93128e-05	9012	-11879.6	-62110.6	
5930	0.0368123	-0.0243035	0.66769	0.000224541	0.000144024	2.57731e-05	-19312.1	-291297	16954.4	
5960	0.0376462	-0.0249282	0.66692	0.000211215	-5.69705e-05	3.74716e-05	29392.7	-22020.1	-27154.7	
5991	0.0357837	-0.0228003	0.66614	0.000227087	-6.88614e-05	2.28081e-05	-66448.3	75918.9	-27805.6	
6020	0.0356516	-0.0217846	0.666712	0.000203166	-4.15305e-05	1.2798e-05	-4766.38	36662.4	20642.6	
6050	0.0382886	-0.0235011	0.667104	0.000199734	-1.51336e-05	2.76607e-05	95753.9	-62332.7	14217.4	
6080	0.0382886	-0.0235011	0.667104	0.000354855	-0.000116113	5.06929e-05	95753.9	-62332.7	14217.4	
6110	0.0368212	-0.0131438	0.667196	0.000397945	-0.000144162	5.70908e-05	-54511.9	384765	3421.72	
6141	0.0381226	-0.0181143	0.665546	0.000379956	-1.71901e-05	5.82199e-05	83724.5	-66567.6	2271.25	
6201	0.0343824	-0.0115918	0.665705	-0.0106872	0.0016284	3.5561e-10	-142154	247904	6044.04	
6230	0.0343824	-0.0115918	0.665705	-0.0109644	0.00211182	1.17862e-05	-142154	247904	6044.04	
6261	0.0356055	-0.0145587	0.666476	-0.01099	0.00215644	1.28742e-05	90355.8	-301914	-101728	
6350	0.038837	-0.01674	0.666793	-0.000963798	-0.00417128	2.04021e-10	-102370	-328017	127232	
6410	0.0363429	-0.0125531	0.667934	-0.000912094	-0.00394751	2.33341e-10	641.112	187782	-9493.47	
6471	0.0395184	-0.0137438	0.666037	-0.000867503	-0.00375452	6.25091e-11	181220	-14000.2	-47817.1	
6531	0.0262023	-0.0254996	0.665942	-0.000816864	-0.00353534	2.1564e-10	-561742	-495918	-4001.47	
6560	0.0262023	-0.0254996	0.665942	-0.00191226	-0.00450238	-7.80265e-06	-561742	-495918	-4001.47	
6590	0.0262023	-0.0254996	0.665942	-0.00351322	-0.00591575	-1.92068e-05	-561742	-495918	-4001.47	
6620	0.0262023	-0.0254996	0.665942	-0.00561976	-0.00777544	-3.42123e-05	-561742	-495918	-4001.47	
6650	0.041399	-0.00715384	0.661259	-0.00582198	-0.00795397	-3.56529e-05	553918	899039	-299276	
6680	0.0405542	-0.019291	0.667442	-0.00548963	-0.00741455	-0.000215218	-37472.1	-538352	274245	
6710	0.0436309	-0.0112701	0.660004	-0.00552111	-0.00786676	1.5147e-05	137371	358128	-332090	
6740	0.0436309	-0.0112701	0.660004	-0.00528208	-0.00724362	-0.00056269	137371	358128	-332090	
6770	0.0436309	-0.0112701	0.660004	-0.00491942	-0.00629816	-0.00143941	137371	358128	-332090	
6800	0.0359688	-0.0186657	0.66625	-0.00490294	-0.00625519	-0.00147926	-353879	-341572	288465	
6831	0.0359688	-0.0186657	0.66625	-0.00527451	-0.00661384	-0.00117637	-353879	-341572	288465	
6860	0.0360503	-0.0181136	0.664817	-0.00541252	-0.00674705	-0.00106387	3821.9	25884.6	-67160.5	
6890	0.0367416	-0.020075	0.666394	-0.00541172	-0.00674162	-0.00107797	32749.7	-92922.7	74720.7	
6921	0.0367416	-0.020075	0.666394	-0.00537439	-0.00684755	-0.000992791	32749.7	-92922.7	74720.7	
6950	0.0358476	-0.0133754	0.665396	-0.00535572	-0.00690051	-0.0009502	-42943.6	321839	-47936.2	
6980	0.0350188	-0.0147482	0.666761	-0.00537376	-0.00676534	-0.000970334	-40219	-66613.3	66193.6	
7010	0.0357209	-0.0148756	0.665766	-0.00537738	-0.00677134	-0.000964376	34471.5	-6255.33	-48810.3	
7101	0.0358063	-0.0187411	0.666279	0.00116388	-0.00333489	2.08164e-10	-47816.9	-248269	-8086.32	
7130	0.0364936	-0.0215097	0.666555	0.00112372	-0.00354344	-6.7923e-06	34670.5	-139641	13923.2	
7190	0.0363164	-0.0159081	0.666357	0.00196136	-0.00459947	1.0506e-10	-27210	-113808	-7666.44	
7220	0.0363164	-0.0159081	0.666357	0.00193197	-0.00472238	-8.27965e-06	-27210	-113808	-7666.44	
7250	0.0363164	-0.0159081	0.666357	0.00187809	-0.00494772	-2.34592e-05	-27210	-113808	-7666.44	
